Temp[K] C11[GPa] C12[GPa] C13[GPa] C33[GPa] C44[GPa]
4 4.5225 1.7610 0.8690 0.6830 1.9050 0.5080
23 4.5225  1.7590 0.8670 0.6820 1.9050 0.5080
73 4.5198 1.7490 0.8710 0.6800 1.8940 0.5050
123 4.5171 1.7260 0.8770 0.6810 1.8760 0.4990
173 4.5144 1.6990 0.8890 0.6840 1.8570 0.4900
223 4.5117 1.6680 0.9010 0.6870 1.8370 0.4810
273 4.5090 1.6390 0.9130 0.6890 1.8160 0.4720
298 4.5063 1.6240 0.9200 0.6900 1.8070 0.4670
323 4.5022 1.6090 0.9250 0.6910 1.7950 0.4620
373 4.4982 1.5790 0.9340 0.6940 1.7740 0.4530
423 4.4928 1.5510 0.9430 0.6950 1.7530 0.4440
473 4.4874 1.5220 0.9520 0.6950 1.7340 0.4340
523 4.4834 1.4950 0.9610 0.6920 1.7150 0.4240
573 4.4754 1.4680 0.9670 0.6920 1.6960 0.4140
623 4.4700 1.4420 0.9730 0.6910 1.6780 0.4030
673 4.4634 1.4160 0.9780 0.6900 1.6610 0.3920
723 4.4568 1.3920 0.9830 0.6920 1.6440 0.3810
773 4.4502 1.3680 0.9850 0.6880 1.6270 0.3700
823 4.4434 1.3450 0.9880 0.6880 1.6100 0.3590
873 4.4366 1.3220 0.9910 0.6880 1.5930 0.3480
923 4.4300 1.2990 0.9920 0.6880 1.5760 0.3370
973 4.4234 1.2760 0.9930 0.6880 1.5600 0.3260
